Date ,PRECP_AG,PRECP_DT,PRECP_MK,PRECP_BD,PRECP_GM
16-May,3.677419355,6.225806452,4.696774194,0.561290323,3.677419355
16-Jun,6.916666667,5.41,7.226666667,7.48,6.916666667
16-Jul,11.98387097,12.11612903,9.864516129,14.91935484,11.98387097
16-Aug,12.80645161,12.86451613,13.49354839,9.070967742,12.80645161
16-Sep,5.416666667,5.93,4.416666667,8.046666667,5.416666667
16-Oct,2.596774194,0.9,1.983870968,3.14516129,2.596774194
16-Nov,,0,0,0,3.618187059
16-Dec,0,0,0,0,0
17-Jan,0,0,0,0,0
17-Feb,0.75,2.157142857,1.582142857,2.121428571,0.3481
17-Mar,0.032258065,0.851612903,0.390322581,0.14516129,0.032258065
17-Apr,2.083333333,2.883333333,3.973333333,1.686666667,2.083333333
17-May,4.612903226,5.322580645,4.261290323,5.306451613,4.612903226
17-Jun,3.583333333,2.813333333,5.286666667,2.626666667,3.583333333
17-Jul,14.60967742,11.16129032,11.27741935,16.20967742,14.60967742
17-Aug,11.91612903,8.912903226,9.532258065,12.91935484,11.91612903
17-Sep,10.88333333,9.5,4.113333333,6.316666667,10.88333333
17-Oct,5.209677419,1.819354839,2.806451613,3.416129032,5.209677419
17-Nov,1.816666667,0.653333333,1.64,0.1,1.816666667
17-Dec,0,0,0,0,0
